Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,target
Cat,2,Domestic Short Hair,Female,Black,Brown,Small,Short,No,No,Healthy,0,3,1
Dog,4,Mixed Breed,Female,Black,Yellow,Medium,Medium,Yes,Yes,Healthy,0,3,1
Cat,2,Domestic Medium Hair,Male,Black,No Color,Medium,Medium,No,Not Sure,Healthy,0,1,1
Dog,60,Spitz,Female,Black,No Color,Medium,Medium,Yes,Not Sure,Healthy,0,4,0
Dog,1,Mixed Breed,Female,Brown,White,Medium,Medium,No,No,Healthy,0,4,1
Dog,2,Mixed Breed,Female,Yellow,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,5,0
Dog,120,Silky Terrier,Female,Golden,Gray,Small,Medium,Not Sure,Not Sure,Healthy,0,1,1
Cat,1,Domestic Short Hair,Female,Golden,Gray,Medium,Short,No,No,Healthy,0,8,1
Dog,12,Golden Retriever,Female,Golden,White,Medium,Medium,Yes,Yes,Healthy,0,3,1
Cat,3,Domestic Short Hair,Female,Gray,White,Medium,Short,No,No,Healthy,0,7,1
Dog,6,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,100,6,0
Cat,72,Persian,Female,Brown,No Color,Medium,Long,Yes,Yes,Healthy,0,4,1
Dog,1,Collie,Male,Black,Cream,Medium,Short,No,No,Healthy,0,5,1
Cat,2,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,3,1
Cat,5,Tabby,Female,Black,Gray,Medium,Short,Not Sure,No,Healthy,0,1,1
Cat,3,Siamese,Male,White,No Color,Medium,Short,No,No,Healthy,0,3,1
Cat,2,Domestic Short Hair,Male,Golden,White,Medium,Short,No,No,Healthy,50,4,1
Dog,27,Poodle,Female,Black,No Color,Medium,Medium,Yes,No,Healthy,200,2,1
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,2,1
Dog,1,Mixed Breed,Female,Black,White,Medium,Short,Not Sure,No,Healthy,0,1,1
Dog,6,Mixed Breed,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,1,0
Cat,2,Domestic Short Hair,Female,Black,Gray,Medium,Short,No,No,Healthy,0,11,1
Dog,12,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,3,0
Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,2,1
Dog,5,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,5,1
Cat,12,Domestic Short Hair,Male,Brown,Gray,Medium,Short,No,Yes,Healthy,0,5,1
Dog,2,Mixed Breed,Male,Brown,White,Medium,Medium,Yes,No,Healthy,0,1,1
Dog,3,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,6,1
Dog,6,Chihuahua,Female,Brown,No Color,Small,Short,Not Sure,No,Healthy,250,5,0
Cat,12,Siamese,Male,White,No Color,Large,Short,Not Sure,No,Healthy,0,4,1
Dog,96,Mixed Breed,Female,Brown,Golden,Medium,Medium,Yes,Yes,Healthy,0,3,0
Dog,24,Mixed Breed,Male,Cream,White,Large,Short,Not Sure,Not Sure,Healthy,0,2,1
Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,5,1
Dog,2,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,5,1
Dog,4,German Shepherd Dog,Female,Black,Golden,Large,Medium,Yes,No,Healthy,0,4,1
Cat,6,Domestic Short Hair,Male,Black,Gray,Small,Short,Yes,Not Sure,Healthy,0,1,0
Dog,4,Yellow Labrador Retriever,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,4,1
Dog,24,Golden Retriever,Female,Golden,No Color,Medium,Long,Yes,Yes,Healthy,0,0,0
Dog,24,Mixed Breed,Female,Brown,Yellow,Medium,Short,Yes,Yes,Healthy,0,6,0
Dog,1,Terrier,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,3,1
Dog,3,Mixed Breed,Female,Brown,No Color,Large,Medium,No,Yes,Healthy,0,1,1
Dog,36,Terrier,Female,Black,Cream,Medium,Short,Yes,No,Healthy,0,1,0
Cat,3,Persian,Male,Golden,White,Large,Medium,Not Sure,Not Sure,Healthy,0,2,1
Cat,2,Domestic Short Hair,Female,Black,No Color,Small,Short,Yes,No,Healthy,0,5,1
Dog,17,Mixed Breed,Female,White,No Color,Medium,Short,Yes,Yes,Healthy,80,2,1
Cat,6,Tabby,Male,Black,Gray,Medium,Medium,Yes,Yes,Healthy,0,6,0
Dog,5,Mixed Breed,Male,Black,No Color,Medium,Medium,Yes,No,Healthy,0,1,0
Cat,12,Domestic Long Hair,Female,Black,No Color,Medium,Long,No,Yes,Healthy,100,2,0
Cat,2,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,9,1
Dog,7,Mixed Breed,Male,Cream,White,Medium,Short,Yes,Yes,Healthy,0,5,0
Cat,12,Domestic Short Hair,Male,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,11,1
Cat,36,Domestic Short Hair,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,5,0
Cat,3,Siamese,Male,Black,Brown,Small,Medium,No,No,Healthy,300,9,1
Dog,36,Terrier,Male,Black,White,Medium,Short,Yes,Yes,Healthy,0,5,1
Dog,60,Beagle,Female,Cream,No Color,Medium,Short,Yes,Yes,Healthy,0,2,0
Dog,10,Mixed Breed,Female,Cream,White,Medium,Short,Yes,No,Healthy,110,2,1
Dog,12,Mixed Breed,Female,Cream,White,Medium,Medium,Yes,No,Healthy,0,3,1
Dog,4,Dalmatian,Male,Black,White,Medium,Short,Yes,No,Healthy,0,3,1
Cat,24,Snowshoe,Male,Cream,No Color,Small,Short,Yes,Yes,Healthy,500,1,0
Dog,60,Shih Tzu,Male,Brown,Cream,Small,Long,Yes,Yes,Healthy,100,1,1
Cat,6,Domestic Short Hair,Male,White,No Color,Medium,Short,Yes,Yes,Healthy,100,1,0
Dog,4,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,5,0
Dog,2,Spitz,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,1,1
Cat,2,Persian,Male,White,No Color,Medium,Long,No,No,Healthy,350,4,1
Cat,72,Domestic Short Hair,Male,Gray,No Color,Medium,Short,Yes,Yes,Healthy,0,1,1
Cat,2,Domestic Short Hair,Male,Black,No Color,Small,Short,No,No,Healthy,0,1,0
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,1
Dog,120,Mixed Breed,Female,Black,White,Medium,Medium,Not Sure,Not Sure,Minor Injury,0,3,1
Dog,12,Mixed Breed,Female,Brown,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,3,0
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,7,1
Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,11,1
Cat,2,Domestic Short Hair,Male,Gray,No Color,Medium,Short,No,No,Healthy,0,1,0
Cat,7,Domestic Short Hair,Male,Black,White,Medium,Short,Yes,Not Sure,Healthy,0,1,1
Dog,36,Jack Russell Terrier,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,300,4,0
Cat,3,Domestic Short Hair,Male,Brown,Golden,Small,Short,No,No,Healthy,0,3,1
Cat,2,Oriental Short Hair,Female,Black,Gray,Small,Short,No,Not Sure,Healthy,50,2,0
Cat,2,Domestic Short Hair,Female,Yellow,White,Small,Short,No,No,Healthy,0,3,1
Dog,8,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,Yes,Healthy,0,2,1
Dog,96,Mixed Breed,Male,Black,White,Medium,Short,No,No,Healthy,0,2,0
Dog,6,Jack Russell Terrier,Male,Brown,Cream,Medium,Short,Yes,No,Healthy,0,3,1
Dog,2,Mixed Breed,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,3,1
Dog,3,Mixed Breed,Female,White,No Color,Medium,Short,No,No,Healthy,0,1,1
Cat,3,Domestic Short Hair,Male,Black,Gray,Small,Short,Yes,No,Healthy,0,7,1
Dog,12,Chihuahua,Male,Cream,White,Small,Short,Yes,No,Healthy,50,3,1
Dog,2,Mixed Breed,Female,Black,Brown,Large,Short,No,No,Healthy,0,4,1
Cat,4,Domestic Medium Hair,Male,Golden,No Color,Small,Medium,No,No,Healthy,0,1,1
Dog,15,Poodle,Male,White,No Color,Small,Short,Yes,No,Healthy,0,12,1
Dog,72,Shih Tzu,Male,Black,White,Small,Short,Not Sure,Not Sure,Serious Injury,0,3,1
Cat,2,Calico,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,4,1
Dog,5,Mixed Breed,Male,Brown,Golden,Medium,Short,Not Sure,Not Sure,Healthy,0,9,0
Cat,6,Domestic Short Hair,Female,Black,No Color,Large,Short,No,No,Healthy,0,5,0
Dog,3,Mixed Breed,Male,Cream,No Color,Medium,Short,Yes,Yes,Healthy,0,2,1
Dog,7,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,0,0
Dog,3,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,5,0
Cat,5,Domestic Short Hair,Male,Brown,Golden,Large,Medium,No,No,Healthy,0,5,1
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,4,1
Dog,7,Mixed Breed,Male,Brown,Golden,Medium,Medium,Yes,Yes,Healthy,0,7,1
Dog,49,Golden Retriever,Male,Golden,Yellow,Large,Medium,Yes,No,Healthy,0,2,1
Cat,1,Oriental Short Hair,Male,Black,Gray,Medium,Short,No,No,Healthy,0,4,1
Cat,1,Domestic Short Hair,Female,Black,White,Medium,Short,No,No,Healthy,0,1,1
Dog,12,Mixed Breed,Male,Black,No Color,Medium,Medium,No,No,Healthy,0,2,1
Cat,9,Domestic Short Hair,Female,Golden,No Color,Small,Short,Not Sure,No,Healthy,1,2,0
Cat,3,Domestic Medium Hair,Female,Gray,White,Medium,Medium,No,No,Healthy,0,5,1
Cat,4,Domestic Short Hair,Male,Black,Gray,Small,Short,No,No,Healthy,0,10,1
Cat,2,Domestic Short Hair,Female,Black,Yellow,Small,Short,No,Not Sure,Healthy,0,5,1
Dog,4,Mixed Breed,Male,Black,Brown,Small,Short,No,No,Healthy,0,1,1
Dog,12,Mixed Breed,Female,Brown,White,Medium,Medium,No,Yes,Healthy,0,3,0
Dog,5,Mixed Breed,Female,Black,Brown,Medium,Short,Not Sure,Not Sure,Healthy,0,3,1
Cat,3,Domestic Short Hair,Female,Brown,Yellow,Medium,Short,No,No,Healthy,0,4,1
Cat,36,Persian,Male,White,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,1,1
Dog,1,Mixed Breed,Female,White,No Color,Medium,Medium,Yes,No,Healthy,0,2,1
Dog,2,Mixed Breed,Female,White,No Color,Medium,Medium,No,No,Healthy,0,5,1
Dog,36,Spitz,Female,Black,Brown,Medium,Medium,Not Sure,Not Sure,Healthy,0,4,0
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,0
Dog,2,Belgian Shepherd Malinois,Male,Black,Brown,Large,Short,Yes,No,Healthy,0,4,1
Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,No,Not Sure,Healthy,0,5,1
Cat,12,Domestic Medium Hair,Male,Cream,White,Large,Medium,No,No,Healthy,0,4,1
Cat,2,Domestic Short Hair,Female,White,No Color,Medium,Short,No,No,Healthy,0,0,0
Dog,60,Spitz,Male,White,No Color,Medium,Medium,Yes,Yes,Healthy,0,1,1
Dog,2,Mixed Breed,Male,Cream,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,1,0
Dog,7,West Highland White Terrier Westie,Female,Brown,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,1,1
Dog,6,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,1,0
Cat,12,Turkish Van,Male,Black,No Color,Medium,Medium,No,No,Healthy,0,2,0
Dog,48,Poodle,Male,Cream,No Color,Small,Medium,No,No,Healthy,0,2,1
Dog,5,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,Yes,Healthy,0,1,0
Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,150,13,1
Dog,4,Mixed Breed,Female,Brown,Cream,Small,Short,Yes,Not Sure,Healthy,0,2,0
Dog,2,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,11,0
Cat,1,Domestic Medium Hair,Female,Brown,No Color,Small,Medium,No,No,Healthy,0,2,1
Cat,0,Domestic Short Hair,Female,White,No Color,Medium,Short,No,No,Healthy,0,1,1
Cat,5,Tabby,Male,Yellow,White,Medium,Long,No,No,Healthy,0,2,1
Cat,1,Domestic Short Hair,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,16,1
Cat,12,Domestic Short Hair,Male,Brown,Cream,Medium,Short,No,No,Healthy,50,1,1
Dog,13,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,1,4,0
Cat,2,Domestic Medium Hair,Female,Black,White,Medium,Medium,No,No,Healthy,0,3,0
Cat,12,Domestic Short Hair,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,4,0
Dog,2,Terrier,Female,Black,White,Medium,Short,No,No,Healthy,0,11,1
Dog,12,Schnauzer,Male,Gray,No Color,Small,Medium,Yes,No,Healthy,200,4,1
Dog,13,Mixed Breed,Male,Black,No Color,Small,Long,Yes,No,Healthy,220,6,0
Cat,7,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,3,1
Dog,24,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,No,Healthy,0,1,1
Cat,24,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,Yes,Healthy,0,5,1
Dog,60,Pekingese,Male,Brown,Cream,Small,Long,Yes,No,Healthy,0,3,1
Dog,5,Beagle,Female,Brown,White,Medium,Medium,Yes,No,Healthy,0,1,1
Dog,1,Mixed Breed,Female,Cream,No Color,Medium,Medium,No,No,Healthy,0,4,1
Cat,11,Domestic Short Hair,Male,Brown,Cream,Medium,Short,Yes,Yes,Healthy,0,6,0
Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,1,1
Cat,4,Domestic Short Hair,Female,Golden,White,Medium,Short,Yes,No,Healthy,120,7,1
Cat,2,Domestic Medium Hair,Male,Brown,Gray,Medium,Medium,Yes,No,Healthy,0,3,1
Cat,4,Domestic Short Hair,Male,White,No Color,Small,Short,Yes,No,Healthy,0,4,1
Dog,6,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,Yes,Healthy,0,4,1
Dog,7,Mixed Breed,Female,Black,Brown,Small,Short,Not Sure,Yes,Healthy,0,7,1
Cat,4,Domestic Long Hair,Male,Yellow,No Color,Large,Long,No,No,Healthy,150,1,1
Cat,12,Domestic Medium Hair,Female,Black,Yellow,Medium,Medium,Yes,Yes,Healthy,0,1,0
Dog,10,Dachshund,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,5,1
Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,50,2,0
Dog,2,Terrier,Female,Brown,White,Medium,Short,No,No,Healthy,0,1,1
Dog,2,Mixed Breed,Male,Brown,White,Medium,Medium,No,No,Healthy,0,3,1
Cat,12,Domestic Medium Hair,Female,White,No Color,Medium,Medium,No,Not Sure,Healthy,0,1,0
Cat,10,Domestic Short Hair,Female,Black,White,Small,Short,Yes,Yes,Healthy,0,1,1
Dog,12,Mixed Breed,Female,Black,White,Small,Short,Yes,Yes,Healthy,80,4,1
Cat,6,Domestic Short Hair,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,1,1
Cat,44,Siamese,Female,Brown,Cream,Medium,Short,Yes,Yes,Healthy,0,19,1
Dog,9,Shar Pei,Female,Cream,No Color,Medium,Short,No,No,Healthy,0,1,1
Cat,2,Domestic Short Hair,Female,Black,Brown,Medium,Short,No,Not Sure,Healthy,0,4,1
Cat,2,Domestic Medium Hair,Male,Black,White,Medium,Medium,No,No,Healthy,0,6,1
Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Medium,No,No,Healthy,1,3,1
Dog,36,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,1,0
Dog,4,Mixed Breed,Female,Yellow,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,1,0
Cat,3,Domestic Short Hair,Male,Golden,Yellow,Medium,Short,No,No,Healthy,0,1,1
Cat,9,Domestic Short Hair,Male,Black,Yellow,Medium,Medium,No,No,Minor Injury,0,1,0
Cat,7,Siamese,Male,Brown,Cream,Medium,Short,Yes,Yes,Healthy,0,7,1
Cat,24,Domestic Short Hair,Female,Yellow,Gray,Medium,Short,Yes,Yes,Healthy,0,3,1
Dog,2,Poodle,Male,Brown,Golden,Small,Medium,Yes,No,Healthy,200,0,1
Cat,12,Domestic Short Hair,Male,Black,Brown,Large,Short,Yes,Yes,Healthy,200,5,0
Cat,5,Tabby,Male,Yellow,Cream,Medium,Short,Yes,No,Healthy,0,4,1
Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,No,No,Healthy,20,1,1
Cat,1,Tabby,Male,Black,White,Small,Medium,No,No,Healthy,0,5,1
Dog,3,Mixed Breed,Female,Black,Brown,Large,Short,Not Sure,No,Healthy,0,2,1
Dog,1,Mixed Breed,Male,Black,White,Medium,Short,No,No,Healthy,0,2,1
Dog,2,Mixed Breed,Male,Brown,Cream,Small,Medium,No,No,Minor Injury,0,3,1
Dog,9,Terrier,Female,Black,No Color,Medium,Long,Not Sure,Not Sure,Healthy,0,0,0
Cat,5,Bengal,Male,Black,White,Large,Short,Yes,No,Healthy,50,3,1
Cat,2,Tabby,Female,Black,Brown,Small,Medium,No,No,Healthy,0,0,0
Dog,2,Mixed Breed,Female,Golden,Yellow,Medium,Medium,No,No,Healthy,0,2,1
Dog,20,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,2,1
Dog,60,Poodle,Male,Cream,No Color,Small,Medium,Not Sure,Not Sure,Healthy,0,5,1
Dog,1,Mixed Breed,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,1,0
Cat,4,Domestic Short Hair,Male,Black,Gray,Medium,Short,Not Sure,Not Sure,Healthy,0,4,1
Dog,3,Mixed Breed,Male,Black,Brown,Small,Short,Not Sure,Not Sure,Healthy,0,1,0
Dog,1,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,6,1
Dog,16,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,7,0
Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,5,1
Cat,5,Domestic Medium Hair,Female,Black,White,Medium,Medium,No,No,Healthy,0,1,0
Dog,4,Mixed Breed,Female,Cream,No Color,Medium,Short,Not Sure,No,Healthy,0,1,1
Dog,36,Doberman Pinscher,Female,Black,Brown,Large,Short,Yes,Yes,Healthy,0,1,1
Dog,5,Mixed Breed,Male,Golden,Yellow,Small,Short,Yes,No,Healthy,0,5,1
Cat,3,Domestic Short Hair,Female,Gray,No Color,Small,Short,Yes,No,Healthy,150,5,0
Dog,0,Terrier,Male,Cream,No Color,Medium,Long,Not Sure,Not Sure,Healthy,0,4,1
Cat,2,Domestic Short Hair,Female,Golden,No Color,Small,Short,No,No,Healthy,0,5,1
Dog,18,Mixed Breed,Male,Black,No Color,Medium,Medium,Yes,Yes,Healthy,0,2,1
Dog,6,Golden Retriever,Female,White,No Color,Medium,Medium,No,Yes,Healthy,0,1,0
Dog,24,Mixed Breed,Female,Black,Golden,Medium,Short,Not Sure,No,Healthy,0,3,0
Dog,13,Spitz,Female,White,No Color,Medium,Long,Yes,No,Healthy,0,1,1
Cat,12,Domestic Short Hair,Male,Golden,Yellow,Medium,Short,No,No,Healthy,100,3,0
Dog,30,Mixed Breed,Male,Black,No Color,Medium,Short,Yes,No,Healthy,0,4,1
Dog,12,Shih Tzu,Male,Black,Brown,Small,Long,Yes,Yes,Healthy,300,5,0
Dog,36,Mixed Breed,Female,Golden,No Color,Medium,Short,Yes,Yes,Healthy,0,4,0
Dog,2,Mixed Breed,Female,Black,White,Medium,Medium,No,No,Healthy,0,3,1
Dog,6,Mixed Breed,Female,Black,No Color,Medium,Medium,No,Yes,Healthy,100,3,0
Dog,36,Spitz,Female,Black,Brown,Large,Medium,Yes,Yes,Healthy,0,14,0
Dog,0,Mixed Breed,Male,Brown,No Color,Medium,Medium,No,No,Healthy,0,1,1
Dog,18,Spitz,Male,White,No Color,Medium,Medium,Yes,Yes,Healthy,0,7,1
Dog,7,Mixed Breed,Female,Brown,Cream,Small,Short,No,No,Healthy,0,2,0
Dog,36,Jack Russell Terrier (Parson Russell Terrier),Female,Brown,White,Small,Medium,Yes,Yes,Healthy,0,1,1
Dog,4,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,No,Minor Injury,0,3,1
Dog,3,Mixed Breed,Female,Brown,No Color,Large,Medium,Yes,No,Healthy,0,5,1
Cat,3,Domestic Short Hair,Female,Gray,No Color,Small,Medium,Yes,No,Healthy,0,1,1
Cat,4,Domestic Medium Hair,Female,Brown,Golden,Medium,Medium,No,No,Healthy,0,3,1
Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,1,1
Cat,2,Domestic Short Hair,Female,Cream,White,Small,Short,Not Sure,Not Sure,Healthy,0,1,1
Dog,27,Mixed Breed,Female,Brown,White,Medium,Medium,Yes,Yes,Healthy,0,1,0
Cat,4,Siamese,Female,Black,Cream,Medium,Medium,Yes,No,Healthy,0,3,1
Dog,4,Mixed Breed,Female,Black,Yellow,Medium,Medium,Yes,Yes,Healthy,0,1,0
Dog,48,Spitz,Male,Brown,No Color,Medium,Long,Not Sure,Not Sure,Healthy,0,1,1
Cat,1,Domestic Short Hair,Male,Brown,Yellow,Medium,Short,No,No,Healthy,0,1,1
Dog,36,Mixed Breed,Female,Cream,White,Medium,Medium,Not Sure,Yes,Healthy,0,1,1
Cat,18,Persian,Female,Black,Yellow,Medium,Long,Yes,Yes,Healthy,30,5,1
Dog,36,Golden Retriever,Male,Golden,No Color,Large,Long,Yes,No,Healthy,0,2,1
Dog,5,Mixed Breed,Female,Cream,No Color,Medium,Short,Yes,No,Healthy,50,3,1
Cat,2,Tabby,Female,Black,White,Medium,Short,No,No,Healthy,0,1,1
Cat,12,Domestic Short Hair,Male,Black,White,Medium,Short,Yes,Yes,Healthy,0,1,0
Dog,3,Mixed Breed,Female,Brown,No Color,Large,Short,No,No,Healthy,0,5,0
Dog,2,Mixed Breed,Female,Cream,No Color,Medium,Short,No,No,Healthy,0,3,1
Dog,8,Mixed Breed,Female,White,No Color,Medium,Medium,Yes,No,Healthy,0,5,1
Dog,36,Poodle,Male,White,No Color,Small,Short,Not Sure,Not Sure,Healthy,0,3,1
Cat,36,Domestic Medium Hair,Female,Black,Yellow,Medium,Medium,No,Not Sure,Healthy,0,1,0
Dog,2,Doberman Pinscher,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,5,1
Dog,144,Wheaten Terrier,Male,Cream,No Color,Medium,Medium,Not Sure,No,Healthy,0,1,1
Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,1,1
Dog,60,Mixed Breed,Male,Black,White,Large,Medium,Yes,No,Healthy,0,5,1
Cat,36,Persian,Male,Cream,No Color,Medium,Long,No,Yes,Minor Injury,30,3,0
Cat,36,Domestic Short Hair,Female,Brown,Yellow,Medium,Short,Yes,Yes,Healthy,0,5,0
Cat,3,Domestic Medium Hair,Female,Black,Yellow,Small,Medium,No,No,Healthy,0,7,1
Dog,18,Mixed Breed,Male,Brown,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,5,1
Dog,1,Rottweiler,Female,Black,Brown,Small,Short,Yes,No,Healthy,50,1,1
Dog,24,Mixed Breed,Male,Black,Yellow,Medium,Short,No,No,Healthy,0,2,1
Cat,2,Domestic Short Hair,Female,Black,Golden,Medium,Short,No,No,Healthy,0,4,1
Dog,1,Mixed Breed,Male,Brown,White,Medium,Long,No,No,Healthy,0,1,1
Cat,2,Domestic Short Hair,Female,Black,White,Small,Short,No,No,Healthy,0,3,1
Cat,12,Havana,Female,Black,No Color,Medium,Medium,Yes,Yes,Healthy,0,3,0
Dog,2,Mixed Breed,Female,Brown,White,Medium,Medium,Yes,Not Sure,Healthy,0,1,0
Cat,2,Turkish Van,Female,Black,White,Medium,Medium,No,No,Healthy,0,1,1
Dog,12,Mixed Breed,Female,Black,Brown,Large,Short,Yes,Yes,Healthy,0,2,0
Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,1,1
Dog,72,Shih Tzu,Female,Brown,Cream,Small,Short,Not Sure,Not Sure,Healthy,0,2,1
Cat,5,Domestic Short Hair,Female,Gray,White,Small,Short,Yes,Yes,Healthy,70,5,1
Cat,36,Persian,Male,Cream,No Color,Medium,Long,Yes,Yes,Minor Injury,0,1,1
Dog,2,Mixed Breed,Female,Black,Brown,Small,Short,Not Sure,Not Sure,Healthy,0,1,0
Cat,29,Tabby,Male,Brown,Golden,Medium,Short,No,No,Healthy,0,1,0
Cat,4,Egyptian Mau,Male,Brown,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,2,1
Cat,7,Domestic Medium Hair,Male,Black,White,Medium,Medium,Yes,Yes,Healthy,0,5,1
Cat,22,Domestic Short Hair,Female,Brown,Golden,Medium,Short,Yes,Yes,Healthy,0,3,0
Dog,6,Mixed Breed,Male,Brown,Cream,Small,Short,Yes,No,Healthy,0,3,0
Cat,3,Domestic Short Hair,Female,Black,Golden,Small,Short,No,No,Healthy,0,5,1
Cat,10,Domestic Short Hair,Male,Brown,White,Medium,Short,No,Yes,Healthy,5,3,1
Dog,1,Spitz,Female,Black,Brown,Medium,Short,No,No,Healthy,100,6,1
Dog,4,German Shepherd Dog,Male,Black,Brown,Medium,Short,Yes,No,Healthy,0,5,1
Cat,3,Bengal,Male,Gray,No Color,Medium,Short,No,No,Healthy,150,1,1
Cat,4,Tortoiseshell,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,1,0
Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,3,1
Cat,24,Domestic Short Hair,Male,Cream,White,Medium,Short,No,No,Minor Injury,0,6,0
Dog,3,Mixed Breed,Female,Cream,No Color,Medium,Short,No,No,Healthy,0,1,0
Dog,7,Golden Retriever,Female,Golden,No Color,Large,Long,Not Sure,No,Minor Injury,0,3,1
Cat,1,Domestic Short Hair,Male,Gray,White,Medium,Short,No,No,Healthy,0,7,1
Cat,8,Tabby,Male,Black,Brown,Small,Short,Yes,Yes,Healthy,0,2,1
Cat,2,Domestic Short Hair,Male,Black,Cream,Medium,Short,No,No,Minor Injury,0,1,0
Cat,1,Domestic Short Hair,Female,Black,Brown,Small,Short,No,No,Healthy,50,5,1
Dog,4,Mixed Breed,Female,Golden,White,Small,Short,Yes,Not Sure,Healthy,0,4,1
Dog,3,Mixed Breed,Female,Black,Gray,Large,Short,Yes,Yes,Healthy,0,1,1
Cat,12,Domestic Short Hair,Male,Brown,Cream,Medium,Medium,No,No,Serious Injury,0,3,0
Dog,2,Mixed Breed,Male,Cream,No Color,Medium,Medium,Yes,No,Healthy,0,9,1
Cat,2,Domestic Medium Hair,Female,Black,White,Small,Medium,No,No,Healthy,0,3,1
Dog,24,Mixed Breed,Female,Cream,No Color,Medium,Short,Yes,Yes,Healthy,80,3,1
Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,2,1
